Title,Price,Cat_ID,Sub-category,Sub-subcategory,Condition,Quantity,Description,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM
School Smart Staple Remover,0.69,10,,,New,10000,Rust-proof steel jaws remove staples easily without damaging paper. Contoured to fit the fingers.</p> <b> </b> <ul> <li>One Remover</li> <li>Great price on basic remover</li> <li>Steel jaws</li> <li>Contoured plastic handle</li> </ul> <p>,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=763339&encrypt=.jpg,,,,,Art,OFFICE SUPPLIES,STAPLING/ACCESSORIES,STAPLE REMOVER,,School Specialty,189,EACH
Prang Semi Moist Oval Pan Watercolors - Set of 8 - Assorted Colors,3.69,19,,,New,10000,"Unbreakable plastic tray contains brilliant quality pigments. Semi-moist watercolors are non-toxic. Tray is flexible for easy refill. Set includes Red, Yellow, Blue, Orange, Green, Black, Violet and Brown. Also includes No. 7 brush. Oval, Set of 8.</p> <b",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=759515&encrypt=.jpg,,,,,Art,ART SUPPLIES,PAINT,WATERCOLOR PAINT,,School Specialty,1233,SET OF 8
Elmers No-Wrinkle Rubber Cement with Brush - 8 Ounces,4.29,10,,,New,10000,"The cleanest of all paper adhesives, this waterproof rubber cement can be used for temporary or permanent bonding without wrinkles or stains. Glue one surface for papers to be repositionable, glue both surfaces for a more permanent bonding. Thinner can be",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=924463&encrypt=.jpg,,,,,Art,OFFICE SUPPLIES,GLUE/ADHESIVES,RUBBER CEMENT,,School Specialty,1335,EACH
Aleenes Tacky Glue - 4 Ounce Bottle,1.99,10,,,New,10000,"Superior for craft projects! Apply to paper, wood and non-washable fabric craft projects. Dries colorless and flexible. Not intended for items to be washed. <p><a href='http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodmsds/documents/image/msd",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=751558&encrypt=.jpg,,,,,Art,OFFICE SUPPLIES,GLUE/ADHESIVES,WHITE/GEL,,School Specialty,1665,EACH
School Smart Flexible Pencil Case - 8 1/2 x 4 3/4 - Blue,1.19,10,,,New,10000,"Constructed of soft, vinyl material with metal zipper. Size 8 1/2"" x 4 3/4"".",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=758135&encrypt=.jpg,,,,,Art,WRITING,WRITING ACCESSORIES,PENCIL STORAGE,,School Specialty,3171,EACH
Sportime Abdominal Crunch Strips for Grades 5 and up - 4 1/2 x 30 inches - Orange,3.99,8,,,New,10000,One primary component of the numerous health-related youth fitness tests in use is a measure of abdominal strength and endurance. The curl-up or crunch has been adopted because it provides a non-biased measurement that is easily performed in a large group,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=770518&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,TECHNOLOGY/ASSESSMENT,HEALTH RELATED FITNESS/ASSESSMENT,,School Specialty,3314,EACH
School Smart Push Pins - 3/8 inch Long Pins - Box of 100 - Assorted Colors,1.39,10,,,New,10000,"Easier to grip for pinning and removing from bulletin boards than conventional thumb tacks. Assorted Colors 1/2"" plastic grip heads; 3/8"" ground steel points. Box/100.</p> <b> </b> <ul> <li>Perfect Choice For Bulletin Boards</li> <li>Assorted colors</li> ",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=762224&encrypt=.jpg,,,,,Art,OFFICE SUPPLIES,CLIPS/FASTENERS/RUBBER BANDS,PINS,,School Specialty,3351,PACK OF 100
Wiffle-Ball Baseball,1.59,8,,,New,10000,This Wiffle Baseball is specially manufactured for Sportime by Wiffle. These unique balls have slots in both halves to allow it to fly and bounce straighter and truer (normal Wiffle Balls are slotted on one side only).</p> <b> </b> <ul> <li>Sold Individua,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=771687&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,SPORTS,BASEBALL/SOFTBALL,,School Specialty,3443,EACH
Sportime BigBopper Tee,31.99,8,,,New,10000,BigBopper Tee is the ideal aid for supporting large striking targets. No longer will your batting tees restrict ball size. BigBopper Tee fits into your cones and a standard batting tee. Just remember that larger balls have more mass. Under no circumstance,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=763597&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,SPORTS,BASEBALL/SOFTBALL,,School Specialty,3898,EACH
Carlton F2 Badminton Shuttlecocks - Set of 6 - White,13.99,8,,,New,10000,"The Carlton White F2 Badminton Shuttlecock is high performance, medium speed and hi-visibility. Approved for tournament play, cork base, plasticized nylon skirt. Pack of 6. Latex free.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=766385&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,SPORTS,BADMINTON,,School Specialty,4015,PACK OF 6
Chenille Kraft Peacock Feathers - 36 inches - Pack of 12,18.39,19,,,New,10000,"Peacock feathers add a great touch to costumes, masks, collages and other creations. Also an excellent first step for teaching looking up skills required in juggling. They are approximately 36"" (91.4cm) long, 12 feathers per set.</p> <b> </b> <ul> <li>Pac",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=765117&encrypt=.jpg,,,,,Art,ART SUPPLIES,CRAFTS,DECORATIVE CRAFTS,,School Specialty,4070,PACK OF 12
Sportime Flag Football Belts Universal Size Flag Belts,29.99,8,,,New,10000,"These Flag Football Belts are very versatile and high quality, made with 1""W (2.5cm) poly-web belts and no-tear, vinyl-coated flags. Each dozen belts is shipped with 6 pair of red and 6 pair of yellow flags. Belt colors may vary. One size fits all. Hook-a",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=765984&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,SPORTS,FOOTBALL/FLAG FOOTBALL,,School Specialty,4276,PACK OF 12
"Flag Football Belts - Replacement Flags, Yellow - Set of 12",11.39,8,,,New,10000,"These Flag Football Belts are very versatile and high quality, made with 1""W (2.5cm) poly-web belts and no-tear, vinyl-coated flags. Belt colors may vary. One size fits all. Hook-and-loop fabric attachments on 2 slides that can be placed in proper positio",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=765996&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,SPORTS,FOOTBALL/FLAG FOOTBALL,,School Specialty,4280,EACH
